Субъект;Численность лиц, размещенных в гостиницах в 2023 году;Численность граждан России, размещенных в гостиницах в 2023 году;Численность иностранных граждан, размещенных в гостиницах в 2023 году
Белгородская область;180442;177536;2906
Брянская область;182217;173980;8237
Владимирская область;526768;517456;9312
Воронежская область;760489;732562;27927
Ивановская область;227632;225030;2602
Калужская область;327774;321018;6756
Костромская область;301607;299463;2144
Курская область;130408;126422;3986
Липецкая область;193814;189261;4553
Московская область;3047807;2920113;127694
Орловская область;116854;111118;5736
Рязанская область;435850;429479;6371
Смоленская область;215561;196577;18984
Тамбовская область;155153;153257;1896
Тверская область;547673;540402;7271
Тульская область;453933;445895;8038
Ярославская область;707294;700363;6931
г. Москва;9896299;8704963;1191336
Республика Карелия;477815;465119;12696
Республика Коми;133642;132315;1327
Архангельская область;267459;264773;2686
Вологодская область;384915;381369;3546
Калининградская область;680559;658341;22218
Ленинградская область;549619;540912;8707
Мурманская область;331660;316155;15505
Новгородская область;311421;308313;3108
Псковская область;308285;292985;15300
г. Санкт-Петербург;5129053;4753178;375875
Республика Адыгея;113773;112549;1224
Республика Калмыкия;57934;57481;453
Республика Крым;955815;945604;10211
Краснодарский край;5860753;5793042;67711
Астраханская область;239467;228004;11463
Волгоградская область;699607;688292;11315
Ростовская область;1423522;1388049;35473
г. Севастополь;71246;66600;4646
Республика Дагестан;343775;339301;4474
Республика Ингушетия;14388;13744;644
Кабардино-Балкарская Республика;152519;148248;4271
Карачаево-Черкесская Республика;201326;200744;582
Республика Северная Осетия - Алания;178131;172066;6065
Чеченская Республика;169647;166797;2850
Ставропольский край;674052;662467;11585
Республика Башкортостан;761527;746624;14903
Республика Марий Эл;86510;85183;1327
Республика Мордовия;119351;117379;1972
Республика Татарстан;1956942;1906627;50315
Удмуртская Республика;264093;261047;3046
Чувашская Республика;219286;216561;2725
Пермский край;553956;544198;9758
Кировская область;275558;272839;2719
Нижегородская область;1139688;1119028;20660
Оренбургская область;286624;277344;9280
Пензенская область;200078;196141;3937
Самарская область;785058;762145;22913
Саратовская область;461250;451572;9678
Ульяновская область;257127;247532;9595
Курганская область;159000;156696;2304
Свердловская область;1507213;1465595;41618
Тюменская область;1367475;1354925;12550
Челябинская область;733771;710623;23148
Республика Алтай;225765;223619;2146
Республика Тыва;36674;36058;616
Республика Хакасия;123353;121509;1844
Алтайский край;447845;429182;18663
Красноярский край;641538;624538;17000
Иркутская область;689816;656982;32834
Кемеровская область;501581;493925;7656
Новосибирская область;828209;797660;30549
Омская область;307170;292645;14525
Томская область;202238;199402;2836
Республика Бурятия;390894;371465;19429
Республика Саха (Якутия);179379;176692;2687
Забайкальский край;217576;205000;12576
Камчатский край;152754;149502;3252
Приморский край;793970;734662;59308
Хабаровский край;547873;536810;11063
Амурская область;252033;234471;17562
Магаданская область;65774;63467;2307
Сахалинская область;182650;178072;4578
Еврейская автономная область;30610;29295;1315
Чукотский автономный округ;7664;7532;132
