Субъект;Стоимость реализованных турпакетов в 2023 году, млн руб.;Стоимость турпакетов  реализованных гражданам России по территории России в 2023 году, млн руб.;Стоимость турпакетов  реализованных гражданам России по другим странам в 2023 году, млн руб.
Белгородская область;1731.9856000000002;451.745;1280.2406
Брянская область;1409.2361;455.8798;953.3563
Владимирская область;2619.7022;912.2325;1706.2733999999998
Воронежская область;2877.2381;688.3641;2188.874
Ивановская область;1906.7206999999999;612.5177;1294.203
Калужская область;2847.8363999999997;824.9022;2022.6812
Костромская область;1145.0288999999998;337.12579999999997;807.9031
Курская область;1183.6915;230.61589999999998;953.0756
Липецкая область;1086.2876;323.5378;762.7498
Московская область;27151.9902;5059.549099999999;22081.5946
Орловская область;1098.9591;306.37420000000003;792.5849000000001
Рязанская область;2467.6429;482.0942;1985.5487
Смоленская область;1065.108;271.8444;792.522
Тамбовская область;766.1514;194.9925;567.5419
Тверская область;2630.004;630.4678;1999.5201000000002
Тульская область;3562.3378;946.0813;2616.2105
Ярославская область;3747.541;1598.6087;2148.8693
г. Москва;388215.5477;61611.1085;325476.7008
Республика Карелия;2785.6072999999997;1420.0813;1356.9636
Республика Коми;2071.3352;531.6584;1539.6768
Архангельская область;3323.9424;1189.2662;2134.5812
Ненецкий автономный округ;94.5875;27.608400000000003;66.9791
Архангельская область (кроме Ненецкого автономного округа);3229.3549;1161.6578;2067.6021
Вологодская область;2340.0166;897.0835999999999;1442.933
Калининградская область;4237.0029;921.9199;3307.124
Ленинградская область;2126.7471;561.2875;1564.2596
Мурманская область;2894.6778999999997;1216.5186999999999;1652.3866
Новгородская область;671.0973;197.7782;473.3191
Псковская область;820.4404000000001;213.8487;605.2846999999999
г. Санкт-Петербург;23785.773100000002;10176.007300000001;13211.9414
Республика Адыгея;420.6818;219.53;201.15179999999998
Республика Калмыкия;286.9326;76.3433;210.58929999999998
Республика Крым;2693.4923;1906.7165;786.5118
Краснодарский край;14250.5485;5754.7161;8464.1645
Астраханская область;1486.4226999999998;861.1012;622.861
Волгоградская область;3097.9168999999997;1366.5753;1729.2666000000002
Ростовская область;9405.5356;4230.7176;5174.4012
г. Севастополь;736.7112;447.37829999999997;289.3329
Республика Дагестан;6011.2064;374.1656;5636.6678
Республика Ингушетия;31.232;10.294;20.938
Кабардино-Балкарская Республика;82.1254;47.348;34.7774
Карачаево-Черкесская Республика;130.0939;30.406;89.1459
Республика Северная Осетия - Алания;144.7691;70.3588;74.4103
Чеченская Республика;337.1085;119.564;217.4435
Ставропольский край;6637.0365;4703.3829000000005;1825.9612
Республика Башкортостан;6799.7656;1617.7826;5181.983
Республика Марий Эл;1149.1998;269.37890000000004;879.8209
Республика Мордовия;1098.7844;309.7774;789.007
Республика Татарстан;13768.876199999999;3334.2738999999997;10431.1633
Удмуртская Республика;3831.0041;892.4096;2938.5945
Чувашская Республика;1890.4898;336.7402;1553.7496
Пермский край;12592.6389;5128.5544;7464.0845
Кировская область;2599.0528999999997;817.4766999999999;1781.5762
Нижегородская область;11545.6481;5255.3996;6290.2485
Оренбургская область;3218.3624;614.2167;2603.9857
Пензенская область;2234.6308;575.9357;1658.6951000000001
Самарская область;10044.0213;4434.4283;5609.593
Саратовская область;2820.0905;822.2034;1997.8871000000001
Ульяновская область;1762.6001;364.0652;1398.5348999999999
Курганская область;1109.5463;374.8129;734.7334000000001
Свердловская область;14271.0682;5029.2558;9230.5944
Тюменская область;14332.6665;2852.9022;11478.4233
Ханты-Мансийский автономный округ - Югра;5309.848099999999;1142.6288;4166.8393
Ямало-Ненецкий автономный округ;698.6170999999999;223.97220000000002;474.6449
Тюменская область без автономных округов;8324.2013;1486.3011999999999;6836.9391
Челябинская область;9466.9766;2592.5764;6874.4002
Республика Алтай;646.2671;568.9465;77.18060000000001
Республика Тыва;45.522;13.778799999999999;31.7432
Республика Хакасия;801.3291999999999;189.5422;611.787
Алтайский край;4626.5770999999995;1623.5965;3001.4703
Красноярский край;8095.6358;1665.3328000000001;6430.273
Иркутская область;5549.2477;2460.0307000000003;3060.9142
Кемеровская область;4929.0422;1216.1549;3712.8873
Новосибирская область;10433.0335;2031.2163999999998;8399.329099999999
Омская область;4927.968;1531.0078;3396.9602
Томская область;3911.0061;412.7094;3498.2157
Республика Бурятия;551.2896999999999;194.4352;337.5875
Республика Саха (Якутия);1646.9453999999998;420.7415;1226.1749
Забайкальский край;455.6531;39.4572;415.8829
Камчатский край;1720.9688999999998;1127.0883999999999;552.9975
Приморский край;3634.43;475.6114;3150.1297999999997
Хабаровский край;3484.0842000000002;674.5437;2809.5405
Амурская область;1619.1961000000001;201.4786;1415.3155
Магаданская область;217.92229999999998;24.283900000000003;193.6084
Сахалинская область;1421.2141000000001;742.485;673.6039000000001
Еврейская автономная область;…1;…1;…1
Чукотский автономный округ;…1;…1;…1
